expiry,entry_date,rank,structure,mgmt,spot_entry,atm_strike,put_wall,call_wall,legs,short_put,short_call,wing_width,credit_pts,credit_inr,max_loss_inr,nights_held,first_breach_ts,first_breach_side,overlay_trigger_ts,overlay_trigger_side,overlay_trigger_spot,settle_spot,settle_debit_pts,costs_inr,worst_mark_inr,pnl_inr
2026-07-14,2026-07-13,T-1,fly,overlay,24124.6,24100.0,24000.0,24500.0,SC24100@94.9 SP24100@94.65 LC24200@51.9 LP24000@55.5,24100.0,24100.0,100,82.2,5340,1160,1,07-13T04:31,C,,,,24052.0,48.0,680,-1141,1543
2026-07-14,2026-07-13,T-1,strangle,hold,24124.6,24100.0,24000.0,24500.0,SC24500@6.4 SP24000@55.5,24000.0,24500.0,,61.9,4024,,1,,,,,,24052.0,0.0,340,-535,3684
2026-07-14,2026-07-13,T-1,strangle,overlay,24124.6,24100.0,24000.0,24500.0,SC24500@6.4 SP24000@55.5,24000.0,24500.0,,61.9,4024,,1,,,,,,24052.0,0.0,340,-535,3684
2026-07-14,2026-07-13,T-1,straddle,hold,24124.6,24100.0,24000.0,24500.0,SC24100@94.9 SP24100@94.65,24100.0,24100.0,,189.6,12321,,1,07-13T04:31,C,,,,24052.0,48.0,340,-4045,8864
2026-07-14,2026-07-13,T-1,straddle,overlay,24124.6,24100.0,24000.0,24500.0,SC24100@94.9 SP24100@94.65,24100.0,24100.0,,189.6,12321,,1,07-13T04:31,C,,,,24052.0,48.0,340,-4045,8864
2026-07-21,2026-07-15,T-4,condor,hold,24179.2,24200.0,24100.0,24200.0,SC24200@143.45 LC24300@98.65 SP24100@124.75 LP24000@90.2,24100.0,24200.0,100,79.3,5158,1342,3,07-15T04:44,C,,,,24238.5,38.5,680,-911,1975
2026-07-21,2026-07-15,T-4,condor,overlay,24179.2,24200.0,24100.0,24200.0,SC24200@143.45 LC24300@98.65 SP24100@124.75 LP24000@90.2,24100.0,24200.0,100,79.3,5158,1342,3,07-15T04:44,C,07-15T07:30,P,24070,24238.5,38.5,850,-20090,-9121
2026-07-21,2026-07-15,T-4,fly,hold,24179.2,24200.0,24100.0,24200.0,SC24200@143.45 SP24200@169.5 LC24300@98.65 LP24100@124.75,24200.0,24200.0,100,89.5,5821,679,3,07-15T04:31,P,,,,24238.5,38.5,680,-859,2638
2026-07-21,2026-07-15,T-4,fly,overlay,24179.2,24200.0,24100.0,24200.0,SC24200@143.45 SP24200@169.5 LC24300@98.65 LP24100@124.75,24200.0,24200.0,100,89.5,5821,679,3,07-15T04:31,P,07-15T07:30,P,24070,24238.5,38.5,850,-19892,-8458
2026-07-21,2026-07-15,T-4,strangle,hold,24179.2,24200.0,24100.0,24200.0,SC24200@143.45 SP24100@124.75,24100.0,24200.0,,268.2,17433,,3,07-15T04:44,C,,,,24238.5,38.5,340,-3892,14590
2026-07-21,2026-07-15,T-4,strangle,overlay,24179.2,24200.0,24100.0,24200.0,SC24200@143.45 SP24100@124.75,24100.0,24200.0,,268.2,17433,,3,07-15T04:44,C,07-15T07:30,P,24070,24238.5,38.5,510,-20150,3494
2026-07-21,2026-07-15,T-4,straddle,hold,24179.2,24200.0,24100.0,24200.0,SC24200@143.45 SP24200@169.5,24200.0,24200.0,,312.9,20342,,3,07-15T04:31,P,,,,24238.5,38.5,340,-5105,17499
2026-07-21,2026-07-15,T-4,straddle,overlay,24179.2,24200.0,24100.0,24200.0,SC24200@143.45 SP24200@169.5,24200.0,24200.0,,312.9,20342,,3,07-15T04:31,P,07-15T07:30,P,24070,24238.5,38.5,510,-18853,6403
2026-07-21,2026-07-16,T-3,condor,hold,24124.0,24100.0,24100.0,24200.0,SC24200@99.85 LC24300@61.3 SP24100@117.75 LP24000@80.6,24100.0,24200.0,100,75.7,4921,1579,2,07-16T08:00,P,,,,24238.5,38.5,680,-1135,1738
2026-07-21,2026-07-16,T-3,condor,overlay,24124.0,24100.0,24100.0,24200.0,SC24200@99.85 LC24300@61.3 SP24100@117.75 LP24000@80.6,24100.0,24200.0,100,75.7,4921,1579,2,07-16T08:00,P,,,,24238.5,38.5,680,-1135,1738
2026-07-21,2026-07-16,T-3,fly,hold,24124.0,24100.0,24100.0,24200.0,SC24100@150.75 SP24100@117.75 LC24200@99.85 LP24000@80.6,24100.0,24100.0,100,88.1,5723,777,2,07-16T04:31,C,,,,24238.5,100.0,680,-1203,-1457
2026-07-21,2026-07-16,T-3,fly,overlay,24124.0,24100.0,24100.0,24200.0,SC24100@150.75 SP24100@117.75 LC24200@99.85 LP24000@80.6,24100.0,24100.0,100,88.1,5723,777,2,07-16T04:31,C,,,,24238.5,100.0,680,-1203,-1457
2026-07-21,2026-07-16,T-3,strangle,hold,24124.0,24100.0,24100.0,24200.0,SC24200@99.85 SP24100@117.75,24100.0,24200.0,,217.6,14144,,2,07-16T08:00,P,,,,24238.5,38.5,340,-4246,11302
2026-07-21,2026-07-16,T-3,strangle,overlay,24124.0,24100.0,24100.0,24200.0,SC24200@99.85 SP24100@117.75,24100.0,24200.0,,217.6,14144,,2,07-16T08:00,P,,,,24238.5,38.5,340,-4246,11302
2026-07-21,2026-07-16,T-3,straddle,hold,24124.0,24100.0,24100.0,24200.0,SC24100@150.75 SP24100@117.75,24100.0,24100.0,,268.5,17452,,2,07-16T04:31,C,,,,24238.5,138.5,340,-5855,8110
2026-07-21,2026-07-16,T-3,straddle,overlay,24124.0,24100.0,24100.0,24200.0,SC24100@150.75 SP24100@117.75,24100.0,24100.0,,268.5,17452,,2,07-16T04:31,C,,,,24238.5,138.5,340,-5855,8110
2026-07-21,2026-07-17,T-2,condor,hold,24221.8,24200.0,24200.0,24500.0,SC24500@24.1 LC24600@12.45 SP24200@134.35 LP24100@92.2,24200.0,24500.0,100,53.8,3497,3003,1,07-20T03:50,P,,,,24238.5,0.0,680,-921,2817
2026-07-21,2026-07-17,T-2,condor,overlay,24221.8,24200.0,24200.0,24500.0,SC24500@24.1 LC24600@12.45 SP24200@134.35 LP24100@92.2,24200.0,24500.0,100,53.8,3497,3003,1,07-20T03:50,P,,,,24238.5,0.0,680,-921,2817
2026-07-21,2026-07-17,T-2,fly,hold,24221.8,24200.0,24200.0,24500.0,SC24200@121.85 SP24200@134.35 LC24300@76.8 LP24100@92.2,24200.0,24200.0,100,87.2,5668,832,1,07-17T04:31,C,,,,24238.5,38.5,680,-852,2485
2026-07-21,2026-07-17,T-2,fly,overlay,24221.8,24200.0,24200.0,24500.0,SC24200@121.85 SP24200@134.35 LC24300@76.8 LP24100@92.2,24200.0,24200.0,100,87.2,5668,832,1,07-17T04:31,C,,,,24238.5,38.5,680,-852,2485
2026-07-21,2026-07-17,T-2,strangle,hold,24221.8,24200.0,24200.0,24500.0,SC24500@24.1 SP24200@134.35,24200.0,24500.0,,158.4,10299,,1,07-20T03:50,P,,,,24238.5,0.0,340,-356,9959
